CarData Element;Beschreibung;Technischer Bezeichner;Datentyp;Typischer Wertebereich;Einheit;Streamingfähig
Tankinhalt;Der Wert gibt den zum Zeitpunkt der Datenerfassung aktuellen Tankinhalt in Liter an. Abhängig von der Position des Tankschwimmers können Abweichungen von bis zu 6 Liter zum angegebenen Wert auftreten.;vehicle.drivetrain.fuelSystem.remainingFuel;float;0 l bis 100 l;;
Tiefschlafmodus (Deep Sleep Mode);Der Wert enthält die Information, ob zum Zeitpunkt der Abfrage der Tiefschlafmodus (Deep Sleep Mode) aktiviert ("true") oder deaktiviert ("false") ist. Wenn der Kunde den Tiefschlafmodus (Deep Sleep Mode) aktiviert hat, kann er sein Fahrzeug längere Zeit parken, ohne die Batterie laden zu müssen. Die meisten Verbraucher sind in diesem Modus deaktiviert, um Energie zu sparen. Der Kunde kann den Tiefschlafmodus (Deep Sleep Mode) beenden, indem er ihn deaktiviert oder das Fahrzeug startet.;vehicle.vehicle.deepSleepModeActive;boolean;true, false;;
Untere Kofferraumtür geöffnet;Zustand der unteren Kofferraumtür.;vehicle.body.trunk.lower.door.isOpen;boolean;wahr, falsch;;
Verbleibende Dauer der Vorkonditionierung;Der Wert gibt die verbleibende Dauer der Vorkonditionierung der Standklimatisierung zum Zeitpunkt der Datenerfassung in Minuten an. Der Wert kann auch übermittelt werden, wenn die Vorkonditionierung nicht gebucht ist oder auch übermittelt werden, wenn der Vorkonditionierungsstatus der Standklimatisierung zum Zeitpunkt der Datenerfassung nicht aktiv ("Inactive") ist.;vehicle.vehicle.preConditioning.remainingTime;uint8;0-60 min, INVALID;min;
Verfügbarkeit von Teleservices;Der Wert gibt an, ob Teleservices für dieses Fahrzeug verfügbar sind.;vehicle.channel.teleservice.status;string;PENDING, IDLE, SUCCESSFUL, ERROR;;
Vorkonditionierungsstatus der Standklimatisierung;Aktueller Status der Vorkonditionierung der Standklimatisierung vor Fahrtantritt zum Zeitpunkt der Datenerfassung. Der Wert "Inactive" kann übermittelt werden, wenn die Vorkonditionierung nicht gebucht ist oder auch übermittelt werden, wenn die Vorkonditionierung zum Zeitpunkt der Datenerfassung nicht aktiv ist.;vehicle.vehicle.preConditioning.activity;string;standby heating cooling ventilation inactive;;
Zeit bis zum Navigationsziel;Der Wert gibt die Ankunftszeit bis zum Erreichen des Navigationsziels an und wird in Stunden und Minuten angegeben.;vehicle.cabin.infotainment.navigation.destinationSet.arrivalTime;string;hh:mm;;
Zeitlicher Schwellwert für Haupt- und Abgasuntersuchung;Der Schwellwert gibt an, wie viele Monate vor der Fälligkeit des Haupt- und Abgasuntersuchungstermins ein Hinweis an den Serviceberater ausgegeben wird.;vehicle.status.serviceTime.hUandAuServiceYellow;uint16;0 bis 10 Monate;months;
Zeitlicher Schwellwert für Service Information;Der angegebene statische Wert ist im Fahrzeug hinterlegt und sagt aus, wann der Kunde das erste Mal einen zeitbasierten Hinweis im Fahrzeug erhält, dass ein Service in Kürze fällig wird. Er wird in Wochen (beispielsweise 4) angegeben.;vehicle.status.serviceTime.yellow;uint16;4 weeks;weeks;
Zeitzoneneinstellung im Fahrzeug;Der Wert gibt die aktuelle Einstellung zur Anzeige der Uhrzeit zum Zeitpunkt der Datenerfassung im Fahrzeug an. Dies kann zum Beispiel Winterzeit, Sommerzeit, UTC oder manual sein.;vehicle.vehicle.timeSetting;string;wintertime summertime utc manual INVALID;;
Zustand der Lichter;Der Wert gibt an, ob das Fahrzeuglicht zum Zeitpunkt der Datenerfassung aus oder an oder ob der Status unbekannt ist.;vehicle.body.lights.isRunningOn;boolean;ASN_isFalse, ASN_isTrue, ASN_isUnknown;;
Zustand der Türen;Dieser Wert gibt den Status der Türen an, wird jedoch nur sporadisch geschrieben und übermittelt. Hinweis: Es empfiehlt sich, statt diesem Wert nur den einzelnen Türstatus zu verwenden.;vehicle.cabin.door.status;string;oldDoorStatus: ASN_secured ASN_unlocked ASN_unknown ASN_selective-Locked newDoorStatus: ASN_locked ASN_unlocked ASN_selective-Locked ASN_unknown allDoorsLocked: ASN_isUnknown ASN_isTrue ASN_isFalse trunkLocked: ASN_isUnknown ASN_isTrue ASN_isFalse;;
Zustand der Zündung;Der Wert gibt an, ob die Zündung zum Zeitpunkt der Datenerfassung aus oder an war oder ob der Status unbekannt ist.;vehicle.drivetrain.engine.isActive;boolean;ASN_isFalse, ASN_isTrue, ASN_isUnknown;;
Zustand des Motors (an/aus);Der Wert gibt an, ob der Motor zum Zeitpunkt der Datenerfassung aus oder an war oder ob der Status unbekannt ist.;vehicle.drivetrain.engine.isIgnitionOn;boolean;ASN_isFalse, ASN_isTrue, ASN_isUnknown;;
Durchschnittliche Strecke pro Woche;Gibt den Durchschnittswert der gefahrenen Strecke in Kilometer pro Woche an.;vehicle.vehicle.averageWeeklyDistanceShortTerm;float;1 km bis 3000 km;;
Durchschnittliche Strecke pro Woche (Langzeit);Der Wert gibt den Wochendurchschnitt der jeweils in einem Zeitraum von 2 Monaten gefahrenen Strecke in Kilometern an.;vehicle.vehicle.averageWeeklyDistanceLongTerm;float;1 km bis 3000 km;;
Geschwindigkeitsbereich oben;Obere Grenze des Geschwindigkeitsbereichs in km/h. Der Bereich schließt die obere Grenze aus. Aus Datenschutzgründen dürfen einige Funktionen die aktuelle Fahrgeschwindigkeit nicht übertragen und sollten das SpeedRange-Attribut verwenden.;vehicle.vehicle.speedRange.upperBound;int16;-100 km/h - 500 km/h;km/h;
Geschwindigkeitsbereich unten;Untere Grenze des Geschwindigkeitsbereichs in km/h. Der Bereich umfasst die untere Grenze. Aus Datenschutzgründen dürfen einige Funktionen die aktuelle Fahrgeschwindigkeit nicht übertragen und sollten das SpeedRange-Attribut verwenden.;vehicle.vehicle.speedRange.lowerBound;int16;-100 km/h - 500 km/h;km/h;
Zuletzt gesendete Restreichweite;Zuletzt vom Fahrzeug gesendete Restreichweite Electric + Kraftstoff. Reichweite von Fahrzeug Kombi (für PHEV- und CE-Fahrzeuge abgefragt). Liefert die E-Reichweite + CE-Reichweite für PHEV. CE-Reichweite für CE-Fahrzeuge. Wahrscheinlich 0 für BEV-Fahrzeuge. Dieser Wert sollte nur für Fahrzeuge mit Verbrennungsmotor verwendet werden. Bei Elektrofahrzeugen sollte Vehicle.Drivetrain.ElectricEngine.KombiRemainingElectricRange angezeigt werden.;vehicle.drivetrain.lastRemainingRange;float;0-6500;km;
Automatischer Teleservice Call;Der Wert enthält die Information, zu welchem Zeitpunkt ein Automatischer Service Call (ASC) vom Fahrzeug ausgelöst wurde.;vehicle.channel.teleservice.lastAutomaticServiceCallTime;string;dd.mm.yyyy hh:mm UTC;;
Teleservice Report;Der Wert enthält die Information, zu welchem Zeitpunkt der Teleservice Report Call im Fahrzeug ausgelöst wurde. Das Fahrzeug sammelt für den Teleservice Report Call Messwerte oder Fehlerdaten und sendet diese nach festgelegten Zyklen automatisch.;vehicle.channel.teleservice.lastTeleserviceReportTime;string;dd.mm.yyyy hh:mm:ss UTC;;
"Smart Charging" Ladeoption;Der Wert gibt an, mit welcher "Smart Charging" Ladeoption geladen wird.;vehicle.powertrain.electric.battery.charging.preferenceSmartCharging;string;PRICE_OPTIMIZED, RENEWABLE_ENERGEY, CO2_OPTIMIZED, INVALID;;
Abfahrtszeit relevant;Informationen darüber, ob die bevorstehende Abfahrtszeit für den professionellen Modus (bidirektional/unidirektional) relevant ist und der Sollenergiezustand zu diesem Zeitpunkt erreicht werden muss.;vehicle.drivetrain.electricEngine.charging.profile.settings.biDirectionalCharging.departureTimeRelevant;boolean;wahr, falsch;;
Abweichung von Ladebetriebsart;Dieser Parameter enthält Informationen über systembedingte Abweichungen von der vom Kunden ausgewählten Ladebetriebsart.;vehicle.drivetrain.electricEngine.charging.modeDeviation;string;NO_DEVIATION, DC_DYNAMIC_MALIBU, DC_DYNAMIC_MIN_SOE_PROTECTION, IMMEDIATE_CHARGING_NOT_SUPPORTED_BY_EVSE, IMMEDIATE_CHARGING_WAKE_UP_LIMIT_REACHED, IMMEDIATE_CHARGING, CHARGING_TIMESLOT, CHARGING_IN_TIMESLOT, SMART_CHARGING, DC_DYNAMIC, BIDIRECTIONAL_CHARGING, NO_ACTION, UNKNOWN;;
AC-Ladespannung;Der Wert gibt die Ladespannung des letzten Ladevorgangs in Volt an (nur bei Laden mit Wechselstrom). In der Regel pendelt sich der Wert bei 230 V ein. Es können jedoch Ladespannungen von 0 bis 300 auftreten.;vehicle.drivetrain.electricEngine.charging.acVoltage;float;0 V bis 300 V oder -NA-;V;
AC-Ladestrom;Der Wert gibt den maximalen Ladestrom des letzten Ladevorgangs in Ampere (A) an (nur bei Laden mit Wechselstrom). Möglich sind Werte zwischen 0 und 25. Sowohl Fahrzeug als auch Ladesäule könnten individuell mit einem bestimmten maximalen Ladestrom laden. Der hier angezeigte Wert ist der größere dieser beiden Zahlen.;vehicle.drivetrain.electricEngine.charging.acAmpere;uint8;0 A bis 25 A oder -NA-;A;
AC-Ladestrombegrenzung und -auswahl;Der erste Wert gibt an, ob der Ladestrom, mit dem das Fahrzeug geladen wird, begrenzt wird.Der zweite Wert beschreibt die Art der Begrenzung (reduziert oder minimal);vehicle.drivetrain.electricEngine.charging.acRestriction.isChosen;boolean;NOTCHOSEN, CHOSEN, INVALID; MAXCHARGING, REDUCEDCHARGING, MINCHARGING, INVALID;;
Aktivierungsdauer ECO Modus der letzten Fahrt;Gibt an, wie lange der ECO Modus während der zum Zeitpunkt der Datenerfassung letzten Fahrt aktiviert war. Der Wertebereich geht von 0 bis 100.;vehicle.trip.segment.accumulated.drivetrain.transmission.setting.fractionDriveEcoPro;float;0 % bis 100 %;percent;
Aktivierungsdauer ECO PLUS Modus der letzten Fahrt;Der Wert gibt an, wie lange der ECO PLUS Modus während der zum Zeitpunkt der Datenerfassung letzten Fahrt aktiviert war. Der Wertebereich geht von 0 bis 100.;vehicle.trip.segment.accumulated.drivetrain.transmission.setting.fractionDriveEcoProPlus;float;0 % bis 100 %;percent;
Akustische Begrenzung des Ladevorgangs;Der Wert gibt an, ob das Laden wegen der Lärmemission begrenzt wird oder nicht.;vehicle.powertrain.electric.battery.charging.acousticLimit;string;NO_ACTION, AUTOMATIC, UNLIMITED,LIMITED;;
Anzeige der Abfahrtszeit;Der Wert gibt an, ob die Abfahrtszeit im Fahrzeug angezeigt wird.;vehicle.powertrain.electric.departureTime.displayControl;string;DONT_DISPLAY, DISPLAY_DEPARTURE_TIME, DISPLAY_DEPARTURE_TIME_WITH_V2XSOE, UNKNOWN;;
Anzeige der Ladedauer;Der Wert gibt an, ob die Ladedauer im Fahrzeug angezeigt wird.;vehicle.powertrain.electric.chargingDuration.displayControl;string;NO_DISPLAY_TIME_FOR_CHARGING, DISPLAY_CHARGING_DURATION, NO_DISPLAY_CHARGING_DURATION, INVALID;;
Anzeige des Ladezustands;Dieser Wert gibt den im Fahrzeug angezeigten Ladezustand an.;vehicle.powertrain.electric.battery.stateOfCharge.displayed;float;0 - 100 %;percent;
Auswahl des günstigsten Ladefensters (Charging Window Selection);Gibt ein zuvor definiertes Zeitfenster an, in dem die Hochvoltbatterie des Fahrzeugs geladen werden sollte. Die möglichen Werte lauten NOTCHOSEN und CHOSEN.;vehicle.drivetrain.electricEngine.charging.windowSelection;string;CHOSEN, NOTCHOSEN, -NA-;;
Automatische Rückmeldung zum Status der Vorkonditionierung;Aktueller Zustand des Kippschalters für die automatische Batterievorkonditionierung. ON bedeutet, dass der Automatikbetrieb (navigationsbasiert) des vorausschauenden Wärmemanagements (vWM) aktiviert ist. OFF bedeutet, dass der Automatikbetrieb (navigationsbasiert) des vorausschauenden Wärmemanagements (vWM) deaktiviert ist. TEMP\_OFF steht für die temporäre Deaktivierung des automatischen vorausschauenden Wärmemanagements (vWM) für die aktuelle Fahrt.;vehicle.powertrain.electric.battery.preconditioning.automaticMode.statusFeedback;string;OFF, ON, TEMP_OFF, UNKNOWN;;
Batterie-Ladeanschluss an beliebiger Position angeschlossen;Dieses Signal zeigt an, ob ein Ladekabel an den Ladeanschluss angeschlossen ist.;vehicle.powertrain.tractionBattery.charging.port.anyPosition.isPlugged;boolean;wahr, falsch;;
Batterie-Ladeanschluss an beliebiger Position, Klappe automatisch geöffnet/geschlossen;Dieses Feld zeigt an, ob die Kundeneinstellung zum Öffnen der Klappe über die MyWay-Funktion (Schieberegler in der mobilen App) aktiv ist. Wenn ja, öffnet sich die Klappe automatisch, wenn sich das Fahrzeug in der Nähe einer Ladestation mit dem Digital Key in der Tasche befindet, und schließt sich automatisch, nachdem das Kabel abgezogen wurde.;vehicle.powertrain.tractionBattery.charging.port.anyPosition.flap.isAutomaticOpenAndCloseActive;boolean;wahr, falsch;;
Batterie-Ladeanschluss an beliebiger Position, Klappe geöffnet;Dieses Signal zeigt an, ob der Ladeanschluss im Fahrzeug geöffnet ist.;vehicle.powertrain.tractionBattery.charging.port.anyPosition.flap.isOpen;boolean;wahr, falsch;;
Batterie-Ladeanschluss hinten links angeschlossen;Dieses Signal zeigt an, ob ein Ladekabel an den Ladeanschluss hinten links angeschlossen ist.;vehicle.powertrain.tractionBattery.charging.port.rearLeft.isPlugged;boolean;wahr, falsch;;
Batterie-Ladeanschluss hinten links, Klappe automatisch geöffnet/geschlossen;Dieses Feld zeigt an, ob die Kundeneinstellung zum Öffnen der Klappe hinten links über die MyWay-Funktion (Schieberegler in der mobilen App) aktiv ist. Wenn ja, öffnet sich die Klappe automatisch, wenn sich das Fahrzeug in der Nähe einer Ladestation mit dem Digital Key in der Tasche befindet, und schließt sich automatisch, nachdem das Kabel abgezogen wurde.;vehicle.powertrain.tractionBattery.charging.port.rearLeft.flap.isAutomaticOpenAndCloseActive;boolean;wahr, falsch;;
Batterie-Ladeanschluss hinten links, Klappe geöffnet;Dieses Signal zeigt an, ob der Ladeanschluss hinten links im Fahrzeug geöffnet ist.;vehicle.powertrain.tractionBattery.charging.port.rearLeft.flap.isOpen;boolean;wahr, falsch;;
Batterie-Ladeanschluss hinten Mitte angeschlossen;Dieses Signal zeigt an, ob ein Ladekabel an den Ladeanschluss hinten in der Mitte angeschlossen ist.;vehicle.powertrain.tractionBattery.charging.port.rearMiddle.isPlugged;boolean;wahr, falsch;;
Batterie-Ladeanschluss hinten Mitte, Klappe automatisch geöffnet/geschlossen;Dieses Feld zeigt an, ob die Kundeneinstellung zum Öffnen der Klappe hinten in der Mitte über die MyWay-Funktion (Schieberegler in der mobilen App) aktiv ist. Wenn ja, öffnet sich die Klappe automatisch, wenn sich das Fahrzeug in der Nähe einer Ladestation mit dem Digital Key in der Tasche befindet, und schließt sich automatisch, nachdem das Kabel abgezogen wurde.;vehicle.powertrain.tractionBattery.charging.port.rearMiddle.flap.isAutomaticOpenAndCloseActive;boolean;wahr, falsch;;
Batterie-Ladeanschluss hinten Mitte, Klappe geöffnet;Dieses Signal zeigt an, ob der Ladeanschluss hinten in der Mitte im Fahrzeug geöffnet ist.;vehicle.powertrain.tractionBattery.charging.port.rearMiddle.flap.isOpen;boolean;wahr, falsch;;
Batterie-Ladeanschluss hinten rechts angeschlossen;Dieses Signal zeigt an, ob ein Ladekabel an den Ladeanschluss hinten rechts angeschlossen ist.;vehicle.powertrain.tractionBattery.charging.port.rearRight.isPlugged;boolean;wahr, falsch;;
Batterie-Ladeanschluss hinten rechts, Klappe automatisch geöffnet/geschlossen;Dieses Feld zeigt an, ob die Kundeneinstellung zum Öffnen der Klappe hinten rechts über die MyWay-Funktion (Schieberegler in der mobilen App) aktiv ist. Wenn ja, öffnet sich die Klappe automatisch, wenn sich das Fahrzeug in der Nähe einer Ladestation mit dem Digital Key in der Tasche befindet, und schließt sich automatisch, nachdem das Kabel abgezogen wurde.;vehicle.powertrain.tractionBattery.charging.port.rearRight.flap.isAutomaticOpenAndCloseActive;boolean;wahr, falsch;;
Batterie-Ladeanschluss hinten rechts, Klappe geöffnet;Dieses Signal zeigt an, ob der Ladeanschluss hinten rechts im Fahrzeug geöffnet ist.;vehicle.powertrain.tractionBattery.charging.port.rearRight.flap.isOpen;boolean;wahr, falsch;;
Batterie-Ladeanschluss vorn links angeschlossen;Dieses Signal zeigt an, ob ein Ladekabel an den Ladeanschluss vorn links angeschlossen ist.;vehicle.powertrain.tractionBattery.charging.port.frontLeft.isPlugged;boolean;wahr, falsch;;
Batterie-Ladeanschluss vorn links, Klappe automatisch geöffnet/geschlossen;Dieses Feld zeigt an, ob die Kundeneinstellung zum Öffnen der Klappe vorn links über die MyWay-Funktion (Schieberegler in der mobilen App) aktiv ist. Wenn ja, öffnet sich die Klappe automatisch, wenn sich das Fahrzeug in der Nähe einer Ladestation mit dem Digital Key in der Tasche befindet, und schließt sich automatisch, nachdem das Kabel abgezogen wurde.;vehicle.powertrain.tractionBattery.charging.port.frontLeft.flap.isAutomaticOpenAndCloseActive;boolean;wahr, falsch;;
Batterie-Ladeanschluss vorn links, Klappe geöffnet;Dieses Signal zeigt an, ob der Ladeanschluss vorn links im Fahrzeug geöffnet ist.;vehicle.powertrain.tractionBattery.charging.port.frontLeft.flap.isOpen;boolean;wahr, falsch;;
Batterie-Ladeanschluss vorn Mitte angeschlossen;Dieses Signal zeigt an, ob ein Ladekabel an den Ladeanschluss vorn in der Mitte angeschlossen ist.;vehicle.powertrain.tractionBattery.charging.port.frontMiddle.isPlugged;boolean;wahr, falsch;;
Batterie-Ladeanschluss vorn Mitte, Klappe automatisch geöffnet/geschlossen;Dieses Feld zeigt an, ob die Kundeneinstellung zum Öffnen der Klappe vorn in der Mitte über die MyWay-Funktion (Schieberegler in der mobilen App) aktiv ist. Wenn ja, öffnet sich die Klappe automatisch, wenn sich das Fahrzeug in der Nähe einer Ladestation mit dem Digital Key in der Tasche befindet, und schließt sich automatisch, nachdem das Kabel abgezogen wurde.;vehicle.powertrain.tractionBattery.charging.port.frontMiddle.flap.isAutomaticOpenAndCloseActive;boolean;wahr, falsch;;
Batterie-Ladeanschluss vorn Mitte, Klappe geöffnet;Dieses Signal zeigt an, ob der Ladeanschluss vorn in der Mitte im Fahrzeug geöffnet ist.;vehicle.powertrain.tractionBattery.charging.port.frontMiddle.flap.isOpen;boolean;wahr, falsch;;
Batterie-Ladeanschluss vorn rechts angeschlossen;Dieses Signal zeigt an, ob ein Ladekabel an den Ladeanschluss vorn rechts angeschlossen ist.;vehicle.powertrain.tractionBattery.charging.port.frontRight.isPlugged;boolean;wahr, falsch;;
Batterie-Ladeanschluss vorn rechts, Klappe automatisch geöffnet/geschlossen;Dieses Feld zeigt an, ob die Kundeneinstellung zum Öffnen der Klappe vorn rechts über die MyWay-Funktion (Schieberegler in der mobilen App) aktiv ist. Wenn ja, öffnet sich die Klappe automatisch, wenn sich das Fahrzeug in der Nähe einer Ladestation mit dem Digital Key in der Tasche befindet, und schließt sich automatisch, nachdem das Kabel abgezogen wurde.;vehicle.powertrain.tractionBattery.charging.port.frontRight.flap.isAutomaticOpenAndCloseActive;boolean;wahr, falsch;;
Batterie-Ladeanschluss vorn rechts, Klappe geöffnet;Dieses Signal zeigt an, ob der Ladeanschluss vorn rechts im Fahrzeug geöffnet ist.;vehicle.powertrain.tractionBattery.charging.port.frontRight.flap.isOpen;boolean;wahr, falsch;;
Begrenzung des Ladestroms;Der Wert gibt die eingestellte Begrenzung des Ladestroms in Ampere (A) an.;vehicle.powertrain.electric.battery.charging.acLimit.selected;uint8;0-252 A, INVALID;A;
Benötigte Energie für die vollständige Restladung der Hochvoltbatterie;Der Wert gibt die Energie an, die benötigt wird, um die Hochvoltbatterie vollständig aufzuladen.;vehicle.drivetrain.electricEngine.charging.smeEnergyDeltaFullyCharged;float;0 - 300 kWh, INVALID;kWh;
Berechnete Restladedauer der Hochvoltbatterie;Der Wert gibt die berechnete Dauer bis zur vollständigen Ladung der Hochvoltbatterie (in Minuten) an. Falls ein Navigationsziel gesetzt ist, wird die Restladedauer bis zur Erreichung dieses Ziels angezeigt.;vehicle.drivetrain.electricEngine.charging.timeToFullyCharged;uint16;0 – 65500 Min, INVALID;min;
Beschränkungsfaktor für AC-Laden;Rückmeldung der AC-Beschränkung.;vehicle.drivetrain.electricEngine.charging.acRestriction.factor;string;MAXCHARGING, REDUCEDCHARGING, MINCHARGING;;
Durchschnittlicher elektrischer Verbrauch;Dieser Wert gibt den durchschnittlichen elektrischen Verbrauch in [kWh/100 km] zum Zeitpunkt der Datenerfassung an. Hinweis: Nicht verfügbar für die Modelle i3 und i8.;vehicle.drivetrain.avgElectricRangeConsumption;float;0 kWh/100 km - 100 kWh/100 km;;
Durchschnittsgeschwindigkeit;Der Wert gibt die zum Zeitpunkt der Datenerfassung durchschnittlich gefahrene Geschwindigkeit in km/h an.;vehicle.vehicle.avgSpeed;uint16;0-300 km/h, INVALID;km/h;
Elektrisch gefahrener Streckenanteil der letzten Fahrt;Der Wert gibt den mit elektrischer Energie zurückgelegten Streckenanteil der letzten erfassten Fahrt in Prozent an.;vehicle.trip.segment.accumulated.drivetrain.transmission.setting.fractionDriveElectric;float;0 % bis 100 %;percent;
Energieinhalt der Hochvoltbatterie;Der Wert gibt den aktuellen Energieinhaltder Hochvoltbatterie an.;vehicle.drivetrain.batteryManagement.maxEnergy;float;0 - 300 kWh, INVALID;kWh;
Entladen erlaubt;Das Zulassen der Entladung im professionellen Modus für die bidirektionale Leistungsübertragungsfunktion (BPT) kann vom Kunden ausgewählt werden oder nicht (ON/OFF).;vehicle.drivetrain.electricEngine.charging.profile.settings.biDirectionalCharging.dischargeAllowed;boolean;wahr, falsch;;
Ergebnis letztes Laden;Ergebnis des letzten Ladevorgangs.;vehicle.drivetrain.electricEngine.charging.lastChargingResult;string;SUCCESS, FAILED, UNKNOWN;;
Fahrstilbewertung 'Beschleunigungs-verhalten';Der Wert gibt die Anzahl der Sterne an, mit der die Fahrstilanalyse zum Zeitpunkt der Datenerfassung das Beschleunigungsverhalten des Fahrers bewertet hat. Das System vergibt dafür 0 bis 5 Sterne.;vehicle.trip.segment.accumulated.acceleration.starsAverage;float;0 bis 5 Sterne;stars;
Fahrstilbewertung 'Vorausschauendes Fahren';Der Wert gibt die Anzahl der Sterne an, mit der die Fahrstilanalyse zum Zeitpunkt der Datenerfassung 'Vorausschauendes Fahren' bewertet hat. Das System vergibt dafür 0 bis 5 Sterne.;vehicle.trip.segment.accumulated.chassis.brake.starsAverage;float;0 bis 5 Sterne;stars;
Gesamte Netzenergie, die dem Fahrzeug zugeführt wurde (nur PHEV);Dieser Wert gibt die gesamte über Ladekabel zugeführte Energie an.;vehicle.drivetrain.electricEngine.charging.consumptionOverLifeTime.overall.gridEnergy;float;0.0 kWh bis 30000.0 kWh;kWh;
Grund für Ende des Ladens;Grund für das Ende des Ladens ab SP25.;vehicle.drivetrain.electricEngine.charging.reasonChargingEnd;string;NO_CHARGING_END_SINCE_IPF_WAKEUP, CUSTOMER_INTERACTION_HMI_UNPLUG_CABLE_ONCE, CUSTOMER_INTERACTION_HMI_CHARGING_TARGET_REACHED, CUSTOMER_INTERACTION_APP_UNPLUG_CABLE_ONCE, CUSTOMER_INTERACTION_APP_CHARGING_TARGET_REACHED, CUSTOMER_INTERACTION_CHARGING_STOP_VIA_CHARGING_STOP_BUTTON_SOCKET, CUSTOMER_INTERACTION_AC_CHARGING_STOP_VIA_KEY, CUSTOMER_INTERACTION_AC_CHARGING_STOP_WALLBOX, CUSTOMER_INTERACTION_AC_CHARGING_STOP_LATCH, HV_BATTERY_FULLY_CHARGED, INFRASTRUCTURE_PHYSICAL_LIMITS_REACHED_TARGET_SOE_NOT_REACHABLE, INFRASTRUCTURE_DC_CCS_EVSE_SHUTDOWN, INFRASTRUCTURE_DC_GBT_CST_MESSAGE, INFRASTRUCTURE_DC_CCS_STATIC_PILOT, INFRASTRUCTURE_DC_CCS_COMMUNICATION_ERROR_FAILED_RESPONSE_CODE, INFRASTRUCTURE_DC_CCS_COMMUNICATION_ERROR, INFRASTRUCTURE_NO_ENERGY_TRANSFER, INFRASTRUCTURE_DC_CCS_PRECHARGE_ERROR, INFRASTRUCTURE_DC_CCS_EVSE_MALFUNCTION_EMERGENCY_SHUTDOWN, INFRASTRUCTURE_STATION_NOT_COMPATIBLE, INFRASTRUCTURE_CHARGE_READINESS_TIMEOUT, INFRASTRUCTURE_AC_MAXIMUM_GRID_ERROR_REACHED, INFRASTRUCTURE_DC_GBT_ISOLATION_ERROR_DETECTED, INFRASTRUCTURE_AUTHENTIFICATION_ERROR, VEHICLE_HV_BATTERY_ERROR, VEHICLE_HV_BATTERY_COMMUNICATION_ERROR, VEHICLE_DCDC_ERROR, VEHICLE_PLC_BOOTUP_ERROR, VEHICLE_HV_BATTERY_MAXIMAL_CURRENT_OVERSHOOT, VEHICLE_ISOLATION_ERROR, VEHICLE_MAXIMUM_TEMPERATURE_CHARGING_SOCKET_OVERSHOOT, VEHICLE_LT3_OVERSHOOT, VEHICLE_FUSI_CABLE_LOCK_ERROR, VEHICLE_PLC_COMMUNICATION_NOT_POSSIBLE, FLEXCHARGER_GRID_ERROR, FLEXCHARGER_GRID_TEMPERATURE_ERROR, FLEXCHARGER_EVSE_TEMPERATURE_ERROR, FLEXCHARGER_EVSE_INTERNAL_ERROR, FLEXCHARGER_AC_DC_FAULT_CURRENT, FLEXCHARGER_INCORRECT_REACTION_TIME_PWM, FLEXCHARGER_CHARGING_CURRENT_TOO_HIGH, FLEXCHARGER_PE_FAULT, INFRASTRUCTURE_INEFFICIENT_CHARGING_LOW_POWER, VEHICLE_CABLE_LOCKING_ERROR, VEHICLE_CONFIGURATION_ERROR_400V_800V, INFRASTRUCTURE_NO_AC_VOLTAGE, PLUG_AND_CHARGE_TLS_ERROR, PLUG_AND_CHARGE_CONTRACT_ERROR, SMART_CHARGING_TARIFF_SELECTION_INVALID, SMART_CHARGING_CHARGING_PROFILE_INVALID, CUSTOMER_INTERACTION_AC_CHARGING_STOP_VIA_APP, CHARGING_PAUSED, DISCHARGE_NOT_POSSIBLE_VOLTAGE_TOO_HIGH, DISCHARGE_NOT_POSSIBLE_SOE_TOO_LOW, DISCHARGE_NOT_POSSIBLE_INTERNAL_ERROR, DISCHARGE_NOT_POSSIBLE_INCOMPATIBLE_ADAPTER, DISCHARGE_NOT_POSSIBLE_INCOMPATIBLE_CONSUMER;;
Grund letztes Laden;Grund des letzten Ladevorgangs.;vehicle.drivetrain.electricEngine.charging.lastChargingReason;string;CHARGING_GOAL_REACHED, END_REQUESTED_BY_DRIVER, CONNECTOR_REMOVED, POWERGRID_FAILED, HV_SYSTEM_FAILURE, CHARGING_STATION_FAILURE, PARKING_LOCK_FAILED, NO_PARKING_LOCK, INVALID, -NA-;;
ID des Einsteck-Ereignisses am Ladeanschluss;Eindeutige Kennung, die bei jedem Einstecken des elektrifizierten Fahrzeugs durch den Kunden erhöht wird (AUSGENOMMEN wenn der Zeitraum zwischen Ausstecken und erneutem Einstecken weniger als 90 Sekunden beträgt). Dieser Wert sollte für jede Ladesitzung eindeutig sein. Siehe ElectricEngine.Charging.PlugStatus.;vehicle.body.chargingPort.plugEventId;uint32;0 - 131068;;
Integritätszustand der 48-V-Batterie;SoH (State of Health) der 48-V-Batterie, der dem Kunden angezeigt wird. Entwickelt, um die EU-Batterieverordnung zu erfüllen.;vehicle.electricalSystem.battery48V.stateOfHealth.displayed;uint16;0% bis 250%;percent;
Kilometerstand der letzten Fahrt;Der Wert gibt den Gesamtkilometerstand nach der letzten erfassten Fahrt an.;vehicle.trip.segment.end.travelledDistance;float;0 km bis 999999 km;;
Klimatisierung aktiv;Klimatisierungsaktivierung des Fahrzeugs im Ladeprofil, der Fahrzeuginnenraum wird für die nächste Abfahrtszeit vorklimatisiert.;vehicle.drivetrain.electricEngine.charging.profile.climatizationActive;boolean;wahr, falsch;;
